,PC1
drug_molecular_weight_sum_fullmolecularfeaturizer,0.8828590950886535
drug_smr_vsa5_sum_fullmolecularfeaturizer,0.27386770306570335
drug_topological_surface_area_sum_fullmolecularfeaturizer,0.26566993466686967
poly_molecular_weight_sidechainfeaturizer_sum,-0.1746730666446349
poly_molecular_weight_sum_backbonefeaturizer,0.10464548217495054
drug_single_bonds_sum_fullmolecularfeaturizer,0.07524961028892166
drug_sp3_carbon_count_sum_fullmolecularfeaturizer,0.07194731972843048
poly_molecular_weight_sum_fullpolymerfeaturizer,-0.06615362456709604
CONCENTRATION,-0.06600417821868743
drug_num_atoms_sum_fullmolecularfeaturizer,0.06223280818385739
poly_topological_surface_area_sidechainfeaturizer_sum,-0.05163092591803596
poly_topological_surface_area_sum_backbonefeaturizer,0.05016728520494899
CAPACITY,-0.02946813996883435
poly_smr_vsa5_sum_backbonefeaturizer,0.028498543646754932
poly_smr_vsa5_sum_fullpolymerfeaturizer,0.02127105576040262
