======================================================================
 TOP 10 DEFINING FEATURES FOR CLUSTERS (Ranked by Scaled Variance)
======================================================================

CLUSTER                                                0    1    2    3     4    5    6    7    8    9    10   11     12   13   14     15   16   17    18   19   20   21   22   23   24   25   26   27   28   29   30    31   32   33   34   35     36   37   38    39   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62
drug_fingerprint_bit_255                              0.0  0.0  0.0  0.0  0.50  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.444  0.0  0.0  0.429  0.0  0.0  0.50  0.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  1.0  0.0  0.0  0.0   0.0  0.0  0.0  1.0  0.0  0.000  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  1.0  1.0  0.0  0.0  0.0  0.0  0.0  1.0  1.0  0.0  0.0  0.0  0.0  0.0
drug_fingerprint_bit_74                               0.0  0.0  0.0  0.0  0.25  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.222  0.0  0.0  0.143  0.0  0.0  0.25  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  1.0  1.0  0.0  0.0   0.0  0.0  0.0  1.0  0.0  0.000  0.0  0.0   0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0
drug_fingerprint_bit_254                              0.5  0.5  0.0  0.0  0.00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.000  0.0  0.0  0.000  0.0  0.0  0.00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.000  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
fingerprint_H_bit_46                                  1.0  1.0  0.0  0.0  0.00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.000  0.0  0.0  0.000  0.0  0.0  0.00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.000  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
fingerprint_H_bit_34                                  1.0  1.0  0.0  0.0  0.00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.000  0.0  0.0  0.000  0.0  0.0  0.00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.000  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
drug_num_hbond_acceptors_sum_fullmolecularfeaturizer  0.0  0.0  2.0  9.0  4.75  2.5  5.0  9.0  9.0  3.0  2.0  3.0  4.889  1.5  2.5  4.714  2.0  1.5  4.75  3.0  2.0  3.0  5.0  2.0  7.0  3.0  1.5  5.0  4.0  1.0  2.0  14.0  9.0  4.0  5.0  1.0  1.667  1.0  0.0  14.0  2.0  3.0  6.0  4.0  2.0  3.0  9.0  9.0  5.0  5.0  5.0  2.0  9.0  4.0  3.0  2.0  6.0  5.0  9.0  4.0  5.0  0.0  5.0
fingerprint_H_bit_66                                  1.0  1.0  0.0  0.0  0.00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.000  0.0  0.0  0.000  0.0  0.0  0.00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.000  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
fingerprint_H_bit_112                                 1.0  1.0  0.0  0.0  0.00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.000  0.0  0.0  0.000  0.0  0.0  0.00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.000  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
fingerprint_H_bit_98                                  1.0  1.0  0.0  0.0  0.00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.000  0.0  0.0  0.000  0.0  0.0  0.00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.000  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
drug_fingerprint_bit_156                              0.0  0.0  0.0  0.0  0.25  0.0  1.0  0.0  0.0  0.0  0.0  0.0  0.222  0.0  0.0  0.143  0.0  0.0  0.25  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0   0.0  0.0  0.0  1.0  0.0  0.000  0.0  0.0   0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0

======================================================================
