,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
WATER_PH,0.0008274391152719718,-0.002287404420334871,0.008738485159566878,0.0003408080557073534,-0.0057555341377776015,0.00015529822780713243,-0.0063553518953988475,-0.0015828481428915144,0.004767782641943816,-0.0018036865231869058,0.02713479886266133,0.04646563548738083,-0.07395527428507362,-0.015454061358792306,-0.02217243234566519
CONCENTRATION,-0.06600417821868743,0.1115726473696314,0.1136643427703802,0.4356543650200728,-0.3897772209889258,0.6878748215279056,0.3895738757084193,0.0034932788279895656,0.05548184214760177,-0.0008121245593899762,-0.01201080623675849,0.011874783389304797,0.0010726317537254754,0.008102398357282728,0.008507627734854455
CAPACITY,-0.02946813996883435,0.029384269857385847,-0.17036796077439753,0.8251356503125278,0.49632878634042576,-0.18749403515285998,-0.05531622027616545,-0.04704366746266096,-0.009789010625109645,0.009988433120196885,0.0334780113734001,-0.011742258782571069,-0.002751581827976815,-0.001431982271615423,0.00013795435508878046
logp_H,-0.001226386328379972,-0.003571373167611913,0.0018091111945808258,0.006992172785285633,-0.014846371679830495,0.0058245477504916265,-0.029772200328420484,0.0004437401524640429,-0.015697746845527744,0.011646016642757578,0.03193952443172987,0.005074871451299923,-0.0111680371730348,0.018342031798161573,0.02075519760075792
logd_at_WATER_PH_H,-0.0005724985328249689,-0.0060399729207305936,-0.000582145138418394,0.007099964183867713,-0.013539881095549766,0.005760123895115432,-0.030935750373680126,-0.00011388785758668484,-0.003089172093292736,0.009010402088526812,0.014410239074514594,0.01120344300640469,-0.007573794425044328,0.03585828788016057,0.04509027645078982
homo_eV_H,0.0017170887351168535,-0.0004644054381550311,0.006136577859545196,-0.0009444986897118035,0.009139256781339533,-0.0012965834059794346,0.0021893887880564677,-0.0004913366730347158,0.022920500395757937,-0.001962224927674519,-0.03907527066979873,0.04883926111381509,-0.01153919114620322,0.04395769222105175,0.04110045644222593
lumo_eV_H,-0.0008391338201016757,-0.002004104802844962,-0.008827874248893197,-0.0003930093551444136,-0.00741316118696167,0.0021421486859961314,-0.00867700793061671,-0.004796555683882374,0.05044326973381277,-0.02473467752363971,-0.10753781822669536,0.011699783871162467,-0.03239499138685159,0.09690271309666479,-0.07856953672358341
charge_at_WATER_PH_H,0.000343313945517872,0.0016718633361094927,0.0050639994951626605,-0.0006907758703098218,0.001616660817177873,-0.001207282518237096,-0.002519631771273345,-0.0007698416830077843,0.0007489268441249934,0.008410062071289165,-0.0028100864110908175,0.04629112912954156,-0.022968300131543218,0.10410046826099706,0.0929885217582308
fingerprint_H_bit_1,-0.001057206399896608,0.0024297889968182217,-0.0007733206308849931,-0.00013289285830499643,-0.003515932874486344,0.002342523871295507,-0.003815088744155287,-0.00016532195676807748,-0.014386877199979886,0.006259875325263949,0.034313652334295244,0.0042970918589519125,-0.021420275117197962,-0.031604330740726244,-0.014093899728093884
fingerprint_H_bit_2,-7.307234879952559e-06,-2.578553686046286e-05,-0.00014517051373547188,0.0002466123846491813,0.00019369427225953055,0.00013792785480205893,0.00016968526444158596,0.0003436519936649285,-0.0005676301198331915,0.0015470689292239048,0.0005159290858223753,-0.0014584269145937467,0.0009672369072917936,-0.0006522885976895376,-0.00594729185769588
fingerprint_H_bit_4,-3.6522017641844535e-05,-2.729544186169268e-05,-9.331776963814419e-05,-1.544045152921929e-05,-0.0001207917297034474,2.5401153783676314e-05,0.00028728836532333595,0.0007712464851140632,0.001539290178737357,-3.8243978366547804e-05,-0.0013807384407391876,-0.0021287279589243813,-0.005483910874413592,-0.00045719568492957885,0.001876051065813622
