POLYMER_USED,DRUG,drug_logp,poly_topological_surface_area_sum_fullpolymerfeaturizer,sa_score_H,drug_homo_eV,drug_lumo_eV,drug_charge_at_WATER_PH
*CC(=O)NCCCCCCCCCCCNC(=O)Nc1ccc(CCc2ccc(NC(=O)CCCCCC(=O)N*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,128.4300,2.4672,-11.3751,-7.8683,-1
*OCCCCCCCCCCCCOC(=O)CCCCCC(=O)OCC(=O)Oc1ccc(-c2ccc(OC(*)(OC)COCCOCC[Si](C)(C)C)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,125.0500,3.6678,-11.3751,-7.8683,-1
*CC(*)(CC(=O)OCCCN(C#N)CCC)c1ccc(/N=N/c2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,147.4900,3.4716,-11.3751,-7.8683,-1
*CCCCCCCCCC(=O)NNC(=O)CCCSCCCCCC(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,87.3000,2.3405,-11.3751,-7.8683,-1
*C(=O)NCCCCNC(=O)c1ccc(C(=O)Nc2ccc(NC(=O)CCCCCCCC(=O)Nc3ccc(O*)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,154.7300,2.4711,-11.3751,-7.8683,-1
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CCCOC(=O)c1cccc(C(*)=O)c1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,71.0600,3.0556,-11.3751,-7.8683,-1
*O[Si](*)(C)CCCCCCCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,66.9700,3.3036,-11.3751,-7.8683,-1
*CCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)OCc1ccc(/C=C/c2ccc(C(=O)O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,78.9000,2.5524,-11.4778,-7.8688,-1
*CCCCCCCCCCCCCNC(=O)c1ccc(NC(=O)CCCCC(=O)N*)cC(=O)Oc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,113.6000,2.9886,-11.4778,-7.8688,-1
*CC(OC)C(COCOC(=O)c1ccc(/C=N/c2ccc(C(=O)O*)cc2)cc1)CCC,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,83.4200,3.3903,-11.3751,-7.8683,-1
*CCC(C)NC(=O)CCCCS(=O)(=O)CCCCCCCCC(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,92.3400,2.7476,-11.3751,-7.8683,-1
*CCCCCCCCCCCOC(=O)CC(CCCCCCCCCCCCCCCCCCCCCCCC(=O)O*)c1ccc(/C=C/c2ccc(C#N)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,76.3900,3.5244,-11.3751,-7.8683,-1
*CCCCCNC(=O)CCCC(=O)NCCCCCCNC(=O)Nc1ccc(C(=O)N*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,128.4300,2.1582,-11.4778,-7.8688,-1
*CCCCCCC(F)NC(=O)NCCCCCSCCCNC(=O)C(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,99.3300,3.2084,-11.4778,-7.8688,-1
*CCCCCCOC(=O)c1ccc(/C=N/c2ccc(C(C)(C)c3ccc(C(=O)Oc4ccc(O*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,74.1900,2.5662,-11.4778,-7.8688,-1
*CC(C#N)C(=O)Nc1ccc(NNC(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,103.2500,2.7929,-11.4778,-7.8688,-1
*CCCOC(=O)C(C)CCC(=O)OC(Oc1ccccc1)C(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,88.1300,3.1208,-11.3751,-7.8683,-1
*CC(*)C(=O)OCOCCCCCc1cccc(-c2c(OCCOCCCOCC)cc2)c1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,63.2200,2.8995,-11.4778,-7.8688,-1
*NC(CON(CCOC(=O)C(=O)O)C)C(*)(C(=O)OCCCCCCC)C(C)(C)C,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,114.4000,3.9138,-11.4778,-7.8688,-1
*CCCCCCCSC(=O)c1ccc(C(=O)NCCCCCCCNC(=O)c2ccc(C(=O)N*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,104.3700,2.3705,-11.3751,-7.8683,-1
*CC(CC)(C)CCC(=O)OCCCCCOC(=O)c1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,95.9700,2.4360,-11.3751,-7.8683,-1
*CCCCCCCCCCCCOC(=O)SCCCCCSCCCCCCC(=O)OC(=O)c1ccc(C(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,95.9700,2.8833,-11.3751,-7.8683,-1
*CCCOC(=O)COC(=O)c1ccc(NC(=O)c2ccc(C(=O)S*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,98.7700,2.0804,-11.4778,-7.8688,-1
*CCCCCCCCCCCCCCCCCOC(=O)CCCCCCCC(=O)NCCCCSCCNC(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,93.7300,2.6537,-11.3751,-7.8683,-1
*CCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)NCCCCOC(=O)CCCC(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,110.8000,2.4674,-11.3751,-7.8683,-1
*Nc1ccc(NC(=O)CCCC(=O)Nc2ccc(-c3ccc(*)s3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,70.2300,1.9221,-11.3751,-7.8683,-1
*CCCCCCCOC(=O)NCCSCSSCCSCCNC(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,76.6600,3.0054,-11.3751,-7.8683,-1
*C#CCOc1ccc(C(=O)c2ccc(OCCCCCC(=O)c3ccc(S(=O)(=O)c4ccc(O*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,95.9700,2.4996,-11.3751,-7.8683,-1
*CCCCCCCCCSCCCCCCC(=O)NCCCCCCCNC(=O)CC(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,87.3000,2.4872,-11.3751,-7.8683,-1
*CC(C#N)=C/C=C/C(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,91.2200,2.4430,-11.4778,-7.8688,-1
*C(=O)CN(c1ccc(CC(C)(C)c2ccccc2)cc1)C(=O)NCCCCCSCCNC(=O)C(=O)NCCCSCCCCNC(*)=O,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,136.7100,3.3673,-11.3751,-7.8683,-1
*CC(CCCCCCCCCOCCOCCOCCOCOCCOCOC*)Oc1ccc(Br)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,73.8400,3.2098,-11.3751,-7.8683,-1
*OC(F)COC(=O)NCCCCNC(=O)OCCCCCCCCC(*)=O,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,102.9600,3.0851,-11.3751,-7.8683,-1
*CC(C)C(C)C(*)CC(=O)Oc1ccc(/N=N/c2ccc(/C=C/c3ccc(OCCCCCCCC)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,60.2500,3.1296,-11.4778,-7.8688,-1
*Oc1c(C)cc(C)c(NC(=O)CCCCC(*)=O)c1C#N,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,79.1900,2.6335,-11.3751,-7.8683,-1
*N=P(*)(CCl)OCOCCCOCCOCCOc1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,126.3700,3.7246,-11.4778,-7.8688,-1
*c1ccc(OC(=O)c2ccc(C(=O)O*)cc2C)c(OC(=O)c2ccccc2)c1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,78.9000,1.8750,-11.3751,-7.8683,-1
*c1ccc(C(=O)Oc2ccc(C(=O)OC(OC)OCC(C)CCCCOC(=O)c3ccc(F)cc3)cc2)cc1*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,97.3600,3.2566,-11.3751,-7.8683,-1
*CCOCCOCCCOCCOCCOCCOCCCOCCOc1ccc(C(=O)Nc2ccc(OC(=O)Nc3ccc(C(=O)Nc4ccc(O*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,179.6000,3.0137,-11.4778,-7.8688,-1
*Nc1ccc(C(=O)c2ccc(C(=O)NCCCCCCCNC(=O)c3ccc(NC(=O)SCCCCCCCCC(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,145.5000,2.8124,-11.3751,-7.8683,-1
*Cc1ccc(S(=O)(=O)CCCCCCC(=O)N2CCC(CCC(=O)O*)CCCC2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,80.7500,2.6583,-11.3751,-7.8683,-1
*CCCCCCCCCCCCCCCC(=O)OCCc1ccc(C(=O)OC(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,78.9000,2.2859,-11.4778,-7.8688,-1
*CCCCCCCCCCCCOC(=O)c1ccc(C(=O)NSCCC(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,81.7000,2.4304,-11.3751,-7.8683,-1
*CCCCCCCCCCCCCCCCCCNC(=O)NCCSCCCCCNC(=O)CCCCCCCCCCCCC(=O)NC(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,128.4300,2.7911,-11.4778,-7.8688,-1
*/N=N/C(=N/C=C/c1ccc(OC)cc1)OC(*)OCCOc1ccc(/N=N/c2ccc(S(=O)(=O)CCCCCCCCCC)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,132.8600,3.5759,-11.4778,-7.8688,-1
*Oc1ccc(C(=NC#N)c2ccc(Cc3ccc(Oc4ccc(NC(=O)c5ccc(*)cc5)cc4)c(C(C)(C)C)c3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,83.7100,2.6621,-11.3751,-7.8683,-1
*OC(O)C(=O)NC(C)(C)OC(*)=O,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,84.8600,3.7181,-11.3751,-7.8683,-1
*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(NC(=O)c4ccc(OC(=O)c5ccc(*)s5)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,73.8600,2.3621,-11.4778,-7.8688,-1
*CCCCCCCCCCCCCCCCCCOC(=O)S(=O)(=O)CCCCCCCCC(=O)OCc1CCCC(=O)N1*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,107.0500,3.4908,-11.3751,-7.8683,-1
*OC(=O)CCCCCCC(=O)OCCCCCCCOc1ccc(C(=O)Oc2ccc(O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,97.3600,2.2367,-11.4778,-7.8688,-1
*OC(O)COc1ccc(/C=N/c2ccc(O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,60.2800,2.2974,-11.3751,-7.8683,-1
*O[Si](C)(C)Oc1ccc(/C=C/c2ccc(-c3ccc(/N=N/c4ccc(Sc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,60.2500,2.9462,-11.4778,-7.8688,-1
*O[Si](C)(C)CCCOC(=O)c1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(*)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,88.1300,2.2908,-11.3751,-7.8683,-1
*CCCCCCCCCNC(=O)CSCCCCCCCC(=O)NCCCCNC(=O)CCCCNC(=O)CCCCCCCCCCCCCC(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,145.5000,2.7272,-11.4778,-7.8688,-1
*CCOCCOC(=O)CCCCC(COCC)CC(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,71.0600,2.7925,-11.4778,-7.8688,-1
*c1ccc(S(=O)(=O)CCCCCCCCCCCC(=O)OCCCCOc2ccc(*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,69.6700,2.1571,-11.3751,-7.8683,-1
*CS(=O)(=O)CCCCCCCCC(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,63.2400,2.0151,-11.4778,-7.8688,-1
*O[Si](*)(C)CCCCCOC(=O)c1ccc(/N=N/c2ccc(C#Cc3ccccc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,60.2500,3.3498,-11.3751,-7.8683,-1
*CCCCCCCOC(=O)NCCCCCCCCCCCNC(=O)CCCCC(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,93.7300,2.2284,-11.4778,-7.8688,-1
*CCCCCCCCCCCSCCC(=O)NCCCCCNC(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,67.4300,2.2572,-11.4778,-7.8688,-1
