POLYMER_USED,DRUG,drug_logp,poly_topological_surface_area_sum_fullpolymerfeaturizer,sa_score_H,drug_homo_eV,drug_lumo_eV,drug_charge_at_WATER_PH
*CC(=O)NCCCCCCCCCCCNC(=O)Nc1ccc(CCc2ccc(NC(=O)CCCCCC(=O)N*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,128.43,2.4671710767033,-11.375078451385892,-7.868288396715519,-1
*OCCCCCCCCCCCCOC(=O)CCCCCC(=O)OCC(=O)Oc1ccc(-c2ccc(OC(*)(OC)COCCOCC[Si](C)(C)C)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,125.05000000000003,3.667784158124186,-11.375087224703961,-7.868292054985888,-1
*CC(*)(CC(=O)OCCCN(C#N)CCC)c1ccc(/N=N/c2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,147.49,3.4716035286020404,-11.375086968529901,-7.8682886966412875,-1
*CCCCCCCCCC(=O)NNC(=O)CCCSCCCCCC(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,87.30000000000001,2.3404814274250647,-11.37508497530776,-7.868290031482991,-1
*C(=O)NCCCCNC(=O)c1ccc(C(=O)Nc2ccc(NC(=O)CCCCCCCC(=O)Nc3ccc(O*)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,154.73,2.4710543369605205,-11.375084980668062,-7.86829154715633,-1
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CCCOC(=O)c1cccc(C(*)=O)c1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,71.06,3.0556080847813867,-11.477838356746341,-7.868791051066804,-1
*O[Si](*)(C)CCCCCCCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,66.97,3.303563607035013,-11.47783926195381,-7.868787346760911,-1
*CCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)OCc1ccc(/C=C/c2ccc(C(=O)O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,78.90000000000002,2.5524149727111727,-11.477838080029253,-7.868788305543268,-1
*CCCCCCCCCCCCCNC(=O)c1ccc(NC(=O)CCCCC(=O)N*)cC(=O)Oc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,113.60000000000001,2.98858119565646,-11.477839752591244,-7.8687929938423355,-1
*CC(OC)C(COCOC(=O)c1ccc(/C=N/c2ccc(C(=O)O*)cc2)cc1)CCC,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,83.42,3.3902906928959364,-11.375086010930186,-7.868289673431522,-1
*CCC(C)NC(=O)CCCCS(=O)(=O)CCCCCCCCC(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,92.34,2.7476300989512037,-11.375088970923736,-7.868286419924713,-1
*CCCCCCCCCCCOC(=O)CC(CCCCCCCCCCCCCCCCCCCCCCCC(=O)O*)c1ccc(/C=C/c2ccc(C#N)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,76.39000000000001,3.52437496384497,-11.47783785821019,-7.868788605802536,-1
*CCCCCNC(=O)CCCC(=O)NCCCCCCNC(=O)Nc1ccc(C(=O)N*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,128.43,2.158168588822436,-11.477841328713856,-7.868786952441146,-1
*CCCCCCC(F)NC(=O)NCCCCCSCCCNC(=O)C(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,99.33000000000001,3.2084308789112264,-11.477842668416658,-7.868795115663399,-1
*CCCCCCOC(=O)c1ccc(/C=N/c2ccc(C(C)(C)c3ccc(C(=O)Oc4ccc(O*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,74.19,2.5661519661658705,-11.477838345762208,-7.86879162961574,-1
*CC(C#N)C(=O)Nc1ccc(NNC(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,103.25000000000001,2.792903112295889,-11.375086190681388,-7.868292026438169,-1
*CCCOC(=O)C(C)CCC(=O)OC(Oc1ccccc1)C(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,88.13000000000001,3.120769226608852,-11.477842252445482,-7.8687913860498755,-1
*CC(*)C(=O)OCOCCCCCc1cccc(-c2c(OCCOCCCOCC)cc2)c1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,63.22000000000001,2.8995036778798084,-11.477836788771961,-7.868788034373703,-1
*CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)N*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,73.86,1.9368274104615804,-11.375083422673768,-7.868294155797528,-1
*NC(CON(CCOC(=O)C(=O)O)C)C(*)(C(=O)OCCCCCCC)C(C)(C)C,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,114.40000000000002,3.913751893590609,-11.37508722775369,-7.868291534108969,-1
*CCCCCCCSC(=O)c1ccc(C(=O)NCCCCCCCNC(=O)c2ccc(C(=O)N*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,104.37,2.370473146374003,-11.375083931602802,-7.868288556512346,-1
*CC(CC)(C)CCC(=O)OCCCCCOC(=O)c1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,95.97000000000001,2.435976509771626,-11.477839677907536,-7.86879173685674,-1
*CCCCCCCCCCCCOC(=O)SCCCCCSCCCCCCC(=O)OC(=O)c1ccc(C(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,95.97000000000001,2.8832923507812556,-11.477838556671669,-7.868789306081801,-1
*CCCOC(=O)COC(=O)c1ccc(NC(=O)c2ccc(C(=O)S*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,98.76999999999998,2.0804016275028996,-11.375085021041386,-7.868290459010291,-1
*CCCCCCCCCCCCCCCCCOC(=O)CCCCCCCC(=O)NCCCCSCCNC(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,93.73,2.6537166043355622,-11.477834749461104,-7.868786880163092,-1
*CCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)NCCCCOC(=O)CCCC(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,110.8,2.467410870196616,-11.375084230455027,-7.868290327666738,-1
*Nc1ccc(NC(=O)CCCC(=O)Nc2ccc(-c3ccc(*)s3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,70.22999999999999,1.9220620565125763,-11.375088728282602,-7.868288573893538,-1
*CCCCCCCOC(=O)NCCSCSSCCSCCNC(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,1.3101,76.66000000000001,3.0054005913347632,-11.375088703512954,-7.868289527763461,-1
