POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,PREDICTED_CAPACITY
*Nc1ccc(NC(=O)c2ccc(C(=O)NNC(=O)c3ccc(*)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,115.59782
*Nc1ccc(NC(=O)CCCC(=O)Nc2ccc(-c3ccc(*)s3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,102.719086
*OC(=O)C(=O)N([2H])C(C)C(*)=O,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,69.93427
*Nc1ccc(C(C)(C)c2ccc(C(=O)NCCCNC(*)=O)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,57.52821
*NNC(=O)c1ccc(C(=O)NC(*)=O)c(Cl)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,55.290318
*OC(=O)NCc1ccc(C(=O)OCCOC(*)=O)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,54.826283
*OC(=O)CCOCC(=S)OC(=O)c1ccc(*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,36.242535
*Nc1ccc(CC(C)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,30.057934
*Oc1ccccc1C(=O)Oc1ccc(Cc2ccc(OC(=O)c3ccc(C(=O)Oc4ccc(C(*)=O)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,28.895002
*OC(=O)c1ccc(C(=O)OCCOC(=O)c2ccc(C(*)=O)cc2)cc1N,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,21.148218
*Oc1ccc(C(=O)OC(=O)c2ccc(OCCOc3ccc(C(=O)c4ccc(Oc5ccc(*)cc5)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,16.788963
*NC(=O)NC(=O)c1ccc(C(*)=O)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,14.404355
*Oc1ccc(/C=C/C=N/c2ccc(/N=C/c3ccc(C(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,13.5439
*C(=O)NC(=O)NNC(=O)c1ccc(*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,6.327371
*NNC(=O)c1ccc(C(=O)Nc2cc(Cl)c(C(=O)OCCc3ccc(C(*)=O)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,5.346501
*CNC(=O)c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,4.1870265
*Oc1ccc(-c2ccc(OC(=O)c3ccc(OCCOC(=O)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,4.086119
*CCCOc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(OCCCCCCCCCCOc4ccc(N*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,3.8515718
*O[Si](C)(C)CCCOC(=O)c1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(*)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,3.7925856
*C(=O)CCOC(=O)c1ccc(C(=O)Oc2ccc(O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,3.4585829
*OC(=O)NC(=O)c1ccc(C(*)=O)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,3.3656864
*OC(=O)COC(=O)c1ccc([Si](C)(C)c2ccc(C(*)=O)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,2.9247828
*CCCOC(=O)NC(=O)c1ccccc1C(*)=O,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,2.905059
*CCC(=O)NCCCNC(=O)C(CCC(=O)N*)c1cccc(C)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,2.7341945
*CCC(=O)OC(=O)c1ccc(/N=N/c2ccc(Cc3ccc(Oc4ccc(*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,2.5208514
*Oc1ccc(Oc2ccc(C(=O)c3ccc(OC(=O)c4ccc(C(*)=O)cc4O)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,2.1925929
*Oc1cccc(C(=O)Oc2ccc(OCCOc3ccc(C(*)=O)cc3)cc2)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,2.1574628
*C(=O)c1ccc(S(=O)(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,1.7076031
*OC(=O)c1ccc(C(=O)OC(*)=O)cc1O,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,1.6306038
*Oc1ccc(C(=O)Nc2ccc(Nc3ccc(NC(=O)CC(*)=O)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,1.4922572
