POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,PREDICTED_CAPACITY
*Nc1ccc(NC(=O)c2ccc(C(=O)NNC(=O)c3ccc(*)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,131.09242
*Nc1ccc(CC(C)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,127.191414
*Nc1ccc(NC(=O)CCCC(=O)Nc2ccc(-c3ccc(*)s3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,120.506424
*Oc1ccc(/C=C/C=N/c2ccc(/N=C/c3ccc(C(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,117.84355
*OC(=O)CCOCC(=S)OC(=O)c1ccc(*)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,116.69412
*Oc1ccc(C(=O)OC(=O)c2ccc(OCCOc3ccc(C(=O)c4ccc(Oc5ccc(*)cc5)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,113.45384
*OC(O)COc1ccc(/C=N/c2ccc(O*)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,110.544655
*OC(=O)NC(=O)c1ccc(C(*)=O)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,107.02028
*CCC(=O)OC(=O)c1ccc(/N=N/c2ccc(Cc3ccc(Oc4ccc(*)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,104.64662
*OC(=O)C(=O)N([2H])C(C)C(*)=O,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,103.55891
*CCC(=O)OC(=O)c1ccc(Cc2ccc(C(=O)O*)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,102.627525
*C(=O)c1ccc(S(=O)(=O)O*)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,100.350494
*Oc1ccc(CC(C)(C)c2ccc(Oc3ccc(S(=O)(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,98.7425
*OC(=O)c1ccc(C(=O)OC(C)C(*)=O)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,98.288826
*Oc1ccc(-c2ccc(Oc3ccc(C(=O)Oc4ccc(OC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,97.64512
*Oc1ccccc1C(=O)Oc1ccc(Cc2ccc(OC(=O)c3ccc(C(=O)Oc4ccc(C(*)=O)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,96.09107
*NNC(=O)c1ccc(C(=O)NC(*)=O)c(Cl)c1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,95.22119
*CCCOC(=O)NC(=O)c1ccccc1C(*)=O,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,93.034294
*c1ccc(C(=O)Nc2ccc(Cc3ccc(NC(=O)c4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,91.1644
*NC(=O)NC(=O)c1ccc(C(*)=O)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,90.22022
*O[Si](C)(C)CCOc1cccc(C(=O)c2ccc(Oc3ccc(C(*)=O)cc3)c(F)c2)c1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,88.90303
*Oc1ccc(/C=N/c2ccc(C(=O)OCc3ccc(OC(=O)c4ccc(*)cc4)cc3)cc2C)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,86.45422
*Oc1ccc(Oc2ccc(C(=O)c3ccc(OC(=O)c4ccc(C(*)=O)cc4O)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,83.29116
*OC(=O)NCc1ccc(C(=O)OCCOC(*)=O)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,82.05048
*Oc1ccc(OC(=O)c2ccc(OC(=O)Nc3cccc(*)c3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,78.4677
*OC(=O)COC(=O)c1ccc([Si](C)(C)c2ccc(C(*)=O)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,74.6467
*CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)N*)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,71.6444
*CC(C)OC(=O)c1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,62.31946
*OC(=O)c1ccc(C(=O)OCCOC(=O)c2ccc(C(*)=O)cc2)cc1N,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,57.47691
*Nc1ccc(C(C)(C)c2ccc(C(=O)NCCCNC(*)=O)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,56.816643
*Oc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,55.428402
*C(=O)NC(=O)NNC(=O)c1ccc(*)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,55.078568
*CNC(=O)c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(*)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,50.136913
*OC(=O)c1ccc(C(=O)OC(*)=O)cc1O,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,46.216583
*CCOC(=O)Sc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,42.310112
*NNC(=O)c1ccc(C(=O)Nc2cc(Cl)c(C(=O)OCCc3ccc(C(*)=O)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,40.80311
*Oc1cccc(C(=O)Oc2ccc(OCCOc3ccc(C(*)=O)cc3)cc2)c1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,35.97868
*CCCCOC(=O)C(CCCCCCCC(=O)O*)c1ccc(C(=O)OC)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,35.856136
*NC(C)CCCOc1ccccc1OC(=O)c1ccc(S(=O)(=O)c2ccc(*)cc2)c(SCCCC)c1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,35.789146
*Oc1ccc(-c2ccc(OC(=O)c3ccc(OCCOC(=O)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,34.43955
*OC(=O)OCCOc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(*)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,33.57055
*N[Se]c1cccc(Cc2ccc(S(=O)(=O)c3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)c1C,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,33.421825
*CCOCCCOCCOC(=O)c1ccc(C(=O)O*)c(Br)c1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,32.695206
*CCOCCOCCOCCOC(=O)Nc1ccc(C(=O)O*)c(C)c1C,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,32.564587
*Oc1ccc(C(=O)OCCCCCCOC(=O)c2cccc(C(*)=O)c2)cc1OC(C)C,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,31.386032
*Cc1ccc(COC(=O)c2ccc(-c3ccc(NC(=O)Nc4ccc(*)cc4)cc3)cc2)cc1C,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,30.135141
*Oc1ccc(NC(=O)c2ccc(Oc3ccc(C(*)=O)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,27.904657
*Oc1ccc(C(=O)Nc2ccc(S(=O)(=O)c3ccc(*)cc3C)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,26.982952
*CC(O)COCCOC(=O)c1cccc(C(=O)Nc2ccc(Cc3ccc(O*)cc3)cc2)c1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,23.43412
*Oc1ccc(C(=O)Nc2ccc(Nc3ccc(NC(=O)CC(*)=O)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,23.161036
*CCCCNC(=O)c1ccc(C(=O)NNc2ccc(Cc3ccc(N(*)CC)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,22.421043
*O[Si](C)(C)Oc1ccc(/C=C/c2ccc(-c3ccc(/N=N/c4ccc(Sc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,22.242348
*O[Si](C)(C)CCCOC(=O)c1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(*)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,22.164919
*/C=N/c1cccc(C(=O)Nc2ccc(-c3ccc(NC(=O)c4ccc(*)cc4)cc3)cc2)c1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,21.739902
*OC(=O)c1ccc(OC(=O)CCC(*)=O)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,17.336761
*CC(CCCCCCCCCOCCOCCOCCOCOCCOCOC*)Oc1ccc(Br)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,16.870077
*C(=O)CCOC(=O)c1ccc(C(=O)Oc2ccc(O*)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,15.293212
*C#CCOc1ccc(C(=O)c2ccc(OCCCCCC(=O)c3ccc(S(=O)(=O)c4ccc(O*)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,12.40988
*CCC(=O)NCCCNC(=O)C(CCC(=O)N*)c1cccc(C)c1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,11.512115
*CCCOc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(OCCCCCCCCCCOc4ccc(N*)cc4)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,9.707827
*NC(=O)C(CCCCCCCOc1ccc(NC(=O)O*)cc1)SCCC,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,9.661892
*CCN(CCCOC(=O)c1ccc(/N=N/c2ccc(C(=O)Oc3ccc(O*)cc3)cc2)cc1)C(=O)OC(C)C,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,8.2,12.5,8.534396
