POLYMER_USED,DRUG,drug_logp,poly_topological_surface_area_sum_fullpolymerfeaturizer,sa_score_H,drug_homo_eV,drug_lumo_eV,drug_charge_at_WATER_PH
*CC(=O)NCCCCCCCCCCCNC(=O)Nc1ccc(CCc2ccc(NC(=O)CCCCCC(=O)N*)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,128.43,2.4671710767033,-9.073772568841726,-5.411900500373903,1
*OCCCCCCCCCCCCOC(=O)CCCCCC(=O)OCC(=O)Oc1ccc(-c2ccc(OC(*)(OC)COCCOCC[Si](C)(C)C)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,125.05000000000003,3.667784158124186,-9.026282554639824,-5.416408525962533,1
*CC(*)(CC(=O)OCCCN(C#N)CCC)c1ccc(/N=N/c2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,147.49,3.4716035286020404,-9.44029878427263,-5.971025424036551,1
*CCCCCCCCCC(=O)NNC(=O)CCCSCCCCCC(=O)N*,CN(C)C(=N)N=C(N)N,-1.243829999999999,87.30000000000001,2.3404814274250647,-9.440300241138873,-5.971024195099704,1
*C(=O)NCCCCNC(=O)c1ccc(C(=O)Nc2ccc(NC(=O)CCCCCCCC(=O)Nc3ccc(O*)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,154.73,2.4710543369605205,-9.359322789936598,-5.850386755366467,1
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CCCOC(=O)c1cccc(C(*)=O)c1,CN(C)C(=N)N=C(N)N,-1.243829999999999,71.06,3.0556080847813867,-9.359319824479922,-5.850384341399541,1
*O[Si](*)(C)CCCCCCCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,66.97,3.303563607035013,-9.4402982116162,-5.971021647733901,1
*CCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)OCc1ccc(/C=C/c2ccc(C(=O)O*)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,78.90000000000002,2.5524149727111727,-9.440299365148993,-5.971017156655496,1
*CCCCCCCCCCCCCNC(=O)c1ccc(NC(=O)CCCCC(=O)N*)cC(=O)Oc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,113.60000000000001,2.98858119565646,-9.359324766819585,-5.850391930325508,1
*CC(OC)C(COCOC(=O)c1ccc(/C=N/c2ccc(C(=O)O*)cc2)cc1)CCC,CN(C)C(=N)N=C(N)N,-1.243829999999999,83.42,3.3902906928959364,-9.49666636609282,-5.9678399075039446,1
*CCC(C)NC(=O)CCCCS(=O)(=O)CCCCCCCCC(=O)N*,CN(C)C(=N)N=C(N)N,-1.243829999999999,92.34,2.7476300989512037,-9.233455829640347,-5.4205763026589535,1
*CCCCCCCCCCCOC(=O)CC(CCCCCCCCCCCCCCCCCCCCCCCC(=O)O*)c1ccc(/C=C/c2ccc(C#N)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,76.39000000000001,3.52437496384497,-9.073772628353247,-5.411895473934101,1
*CCCCCNC(=O)CCCC(=O)NCCCCCCNC(=O)Nc1ccc(C(=O)N*)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,128.43,2.158168588822436,-9.440295311691832,-5.971016343730188,1
*CCCCCCC(F)NC(=O)NCCCCCSCCCNC(=O)C(=O)N*,CN(C)C(=N)N=C(N)N,-1.243829999999999,99.33000000000001,3.2084308789112264,-9.07377751520001,-5.411935046570523,1
*CCCCCCOC(=O)c1ccc(/C=N/c2ccc(C(C)(C)c3ccc(C(=O)Oc4ccc(O*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,74.19,2.5661519661658705,-9.53032854574868,-6.097735854703176,1
*CC(C#N)C(=O)Nc1ccc(NNC(=O)O*)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,103.25000000000001,2.792903112295889,-9.064785372051988,-5.420656832488251,1
*CCCOC(=O)C(C)CCC(=O)OC(Oc1ccccc1)C(=O)O*,CN(C)C(=N)N=C(N)N,-1.243829999999999,88.13000000000001,3.120769226608852,-9.530335400116597,-6.097761947210744,1
*CC(*)C(=O)OCOCCCCCc1cccc(-c2c(OCCOCCCOCC)cc2)c1,CN(C)C(=N)N=C(N)N,-1.243829999999999,63.22000000000001,2.8995036778798084,-9.440300335326794,-5.971024639413359,1
*CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)N*)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,73.86,1.9368274104615804,-9.069642447070553,-5.205668778199692,1
*NC(CON(CCOC(=O)C(=O)O)C)C(*)(C(=O)OCCCCCCC)C(C)(C)C,CN(C)C(=N)N=C(N)N,-1.243829999999999,114.40000000000002,3.913751893590609,-9.496664308825741,-5.967841295724739,1
*CCCCCCCSC(=O)c1ccc(C(=O)NCCCCCCCNC(=O)c2ccc(C(=O)N*)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,104.37,2.370473146374003,-9.440297133080819,-5.971015653111054,1
*CC(CC)(C)CCC(=O)OCCCCCOC(=O)c1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,95.97000000000001,2.435976509771626,-9.069680811388539,-5.205710179627867,1
*CCCCCCCCCCCCOC(=O)SCCCCCSCCCCCCC(=O)OC(=O)c1ccc(C(=O)O*)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,95.97000000000001,2.8832923507812556,-9.440296939849787,-5.9710221943033845,1
*CCCOC(=O)COC(=O)c1ccc(NC(=O)c2ccc(C(=O)S*)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,98.76999999999998,2.0804016275028996,-9.440302533907161,-5.971021277425735,1
*CCCCCCCCCCCCCCCCCOC(=O)CCCCCCCC(=O)NCCCCSCCNC(=O)O*,CN(C)C(=N)N=C(N)N,-1.243829999999999,93.73,2.6537166043355622,-9.530329252468372,-6.097748383076014,1
*CCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)NCCCCOC(=O)CCCC(=O)O*,CN(C)C(=N)N=C(N)N,-1.243829999999999,110.8,2.467410870196616,-9.026283371696458,-5.416401623830095,1
*Nc1ccc(NC(=O)CCCC(=O)Nc2ccc(-c3ccc(*)s3)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,70.22999999999999,1.9220620565125763,-9.073780017398706,-5.411899532174364,1
*CCCCCCCOC(=O)NCCSCSSCCSCCNC(=O)O*,CN(C)C(=N)N=C(N)N,-1.243829999999999,76.66000000000001,3.0054005913347632,-9.35932328401517,-5.850392494197031,1
*C#CCOc1ccc(C(=O)c2ccc(OCCCCCC(=O)c3ccc(S(=O)(=O)c4ccc(O*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,95.97000000000001,2.4995831200120247,-9.440295001117146,-5.971019205428684,1
