POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,PREDICTED_CAPACITY
*Nc1ccc(CC(C)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,126.30604
*OC(=O)CCOCC(=S)OC(=O)c1ccc(*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,115.4925
*c1ccc(C(=O)Nc2ccc(Cc3ccc(NC(=O)c4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,109.224014
*Oc1ccc(CC(C)(C)c2ccc(Oc3ccc(S(=O)(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,99.574295
*Nc1ccc(NC(=O)c2ccc(C(=O)NNC(=O)c3ccc(*)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,97.65285
*Oc1ccc(-c2ccc(Oc3ccc(C(=O)Oc4ccc(OC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,96.71597
*Oc1ccc(/C=C/C=N/c2ccc(/N=C/c3ccc(C(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,96.04382
*CCC(=O)OC(=O)c1ccc(/N=N/c2ccc(Cc3ccc(Oc4ccc(*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,93.1778
*OC(O)COc1ccc(/C=N/c2ccc(O*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,91.65343
*CCC(=O)OC(=O)c1ccc(Cc2ccc(C(=O)O*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,86.602165
*Nc1ccc(NC(=O)CCCC(=O)Nc2ccc(-c3ccc(*)s3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,86.06253
*N[Se]c1cccc(Cc2ccc(S(=O)(=O)c3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)c1C,CN(C)C(=N)N=C(N)N,8.2,12.5,57.82952
*Oc1ccc(C(=O)OC(=O)c2ccc(OCCOc3ccc(C(=O)c4ccc(Oc5ccc(*)cc5)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,54.409145
*Oc1ccc(/C=N/c2ccc(C(=O)OCc3ccc(OC(=O)c4ccc(*)cc4)cc3)cc2C)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,45.53085
