Experiment,Validation,Q2,MAE,RMSE
experiment_hd_16_8_4_4_4,LOOCV,0.9835660206331013,1.499406990440745,6.485267490401488
experiment_hd_16_8_4_4_4_only_y_scaler,LOOCV,0.9803638302900518,1.9164167926937767,7.088998972667812
experiment_hd_16_8_4_4_4_mae,LOOCV,0.9715469680922845,2.756670707298505,8.533374395419107
experiment_hd_16_8_4_4_4_4_mae,LOOCV,0.9176446149127129,4.557542816537068,14.517857393246535
experiment_hd_16_8_8_8,LOOCV,0.913166758093963,2.8827817349610325,14.907318580865663
experiment_hd_16_8_4_4_4_4,LOOCV,0.9042437686940645,3.5546506693927906,15.654530515564234
experiment_hd_32_16_8_8,LOOCV,0.9004788315694973,3.5915025946863177,15.95931541440409
experiment_hd_8_8_8_8,LOOCV,0.8937074088048722,3.327859588580967,16.493317607191734
experiment_hd_16_16_16,LOOCV,0.8880514261869469,3.3867275587776287,16.926447071674247
experiment_hd_32_16_8_4,LOOCV,0.8344516686530973,4.567349276697337,20.583486018639377
experiment_hd_8_8_8_8_8,LOOCV,0.8321013683052368,3.4119151481934216,20.72908361518358
experiment_hd_16_8_4_4_4_basic_forward_fn,LOOCV,0.6122798815182664,5.068294839275141,31.50037278107435
experiment_hd_32_32_32,LOOCV,0.5279635683737637,4.860476457472665,34.7571600921709
experiment_hd_16_8_4_4_4_no_scaler,LOOCV,0.523430556590166,4.928218097170319,34.92364898417081
experiment_hd_16_8_4_4_4_no_scaler_basic_forward_fn,LOOCV,0.523300632034582,4.987206216628873,34.92840918273591
experiment_default,LOOCV,0.4604773312057243,5.187183912406174,37.158773722232205
experiment_hd_16_8_4_4_4_only_x_scaler,LOOCV,0.41344845561781673,4.745488163283503,38.74445973769999
