iteration,loss
1,6.396493
2,6.215000
3,6.067199
4,5.947602
5,5.898149
6,5.841222
7,5.795813
8,5.742516
9,5.686966
10,5.634068
11,5.576567
12,5.541330
13,5.486817
14,5.449157
15,5.397264
16,5.330126
17,5.298787
18,5.235353
19,5.183495
20,5.151953
21,5.095213
22,5.052208
23,4.978891
24,4.943333
25,4.891053
26,4.842975
27,4.789102
28,4.733945
29,4.713705
30,4.667800
31,4.586743
32,4.549308
33,4.487231
34,4.444019
35,4.385426
36,4.341156
37,4.296687
38,4.231456
39,4.205319
40,4.146606
41,4.097545
42,4.058994
43,4.021209
44,3.959350
45,3.906022
46,3.880486
47,3.817053
48,3.772429
49,3.752954
50,3.666986
51,3.624264
52,3.604795
53,3.542588
54,3.487962
55,3.471331
56,3.451551
57,3.374974
58,3.353255
59,3.318636
60,3.262110
61,3.254213
62,3.202110
63,3.149912
64,3.122389
65,3.071559
66,3.060459
67,3.027910
68,3.028803
69,2.956334
70,2.945773
71,2.923256
72,2.863211
73,2.823478
74,2.775001
75,2.796009
76,2.710353
77,2.723477
78,2.668101
79,2.652824
80,2.643445
81,2.595919
82,2.609399
83,2.558268
84,2.556900
85,2.533564
86,2.525408
87,2.495297
88,2.466537
89,2.438531
90,2.391284
91,2.404285
92,2.374953
93,2.328825
94,2.288260
95,2.304696
96,2.271180
97,2.279257
98,2.257315
99,2.255858
100,2.209968
101,2.205536
102,2.185634
103,2.206661
104,2.172422
105,2.176466
106,2.137820
107,2.098311
108,2.102182
109,2.089470
110,2.071083
111,2.072294
112,2.066247
113,2.067809
114,2.056574
115,2.048832
116,1.980424
117,1.982505
118,1.927814
119,1.991269
120,1.910619
121,1.995258
122,1.901384
123,1.878262
124,1.895559
125,1.886849
126,1.856654
127,1.866184
128,1.876495
129,1.856248
130,1.817593
131,1.847707
132,1.833035
133,1.819112
134,1.787570
135,1.782408
136,1.810298
137,1.782771
138,1.767815
139,1.765632
140,1.725656
141,1.741479
142,1.728697
143,1.710599
144,1.722141
145,1.696986
146,1.758244
147,1.709621
148,1.723143
149,1.688276
150,1.638193
151,1.659463
152,1.634222
153,1.636294
154,1.668064
155,1.647056
156,1.701765
157,1.581452
158,1.628726
159,1.564533
160,1.568120
161,1.551576
162,1.598306
163,1.572229
164,1.508201
165,1.577737
166,1.580335
167,1.505171
168,1.510298
169,1.587470
170,1.532405
171,1.567255
172,1.501859
173,1.524816
174,1.444836
175,1.515386
176,1.434672
177,1.483742
178,1.471298
179,1.473126
180,1.457867
181,1.453539
182,1.464110
183,1.487913
184,1.532912
185,1.446897
186,1.439953
187,1.431858
188,1.451489
189,1.485560
190,1.458574
191,1.456507
192,1.490151
193,1.407746
194,1.412003
195,1.425559
196,1.420137
197,1.400746
198,1.383875
199,1.431687
200,1.479528
201,1.438033
202,1.411194
203,1.434152
204,1.423083
205,1.427865
206,1.439861
207,1.380869
208,1.346099
209,1.343117
210,1.397377
211,1.354795
212,1.290088
213,1.337208
214,1.419596
215,1.307154
216,1.342597
217,1.370332
218,1.334206
219,1.311820
220,1.397394
221,1.306103
222,1.278189
223,1.270846
224,1.286936
225,1.297622
226,1.331128
227,1.343595
228,1.306764
229,1.333866
230,1.285799
231,1.320581
232,1.292887
233,1.319176
234,1.298184
235,1.257477
236,1.322266
237,1.264536
238,1.258041
239,1.262186
240,1.257637
241,1.244558
242,1.229461
243,1.233803
244,1.300637
245,1.257932
246,1.262713
247,1.281190
248,1.243803
249,1.235546
250,1.304078
251,1.237366
252,1.253204
253,1.237894
254,1.232409
255,1.261604
256,1.270031
257,1.282686
258,1.236107
259,1.274134
260,1.282342
261,1.282055
262,1.159519
263,1.243397
264,1.223419
265,1.251997
266,1.202081
267,1.244119
268,1.228253
269,1.237965
270,1.274875
271,1.275497
272,1.245189
273,1.263269
274,1.231419
275,1.226731
276,1.217532
277,1.236533
278,1.253256
279,1.239561
280,1.157529
281,1.187126
282,1.242232
283,1.167278
284,1.123405
285,1.226014
286,1.195126
287,1.266516
288,1.219354
289,1.171257
290,1.182913
291,1.161451
292,1.197732
293,1.242947
294,1.259673
295,1.169724
296,1.219955
297,1.157474
298,1.185204
299,1.238070
300,1.193194
301,1.166106
302,1.158496
303,1.210325
304,1.162929
305,1.179090
306,1.220842
307,1.172119
308,1.138138
309,1.191996
310,1.179905
311,1.129823
312,1.177271
313,1.185669
314,1.202471
315,1.132825
316,1.124531
317,1.196465
318,1.197000
319,1.151501
320,1.181790
321,1.158784
322,1.167404
323,1.103090
324,1.169880
325,1.184057
326,1.176659
327,1.127008
328,1.164156
329,1.142845
330,1.124310
331,1.141945
332,1.163790
333,1.092698
334,1.145628
335,1.112615
336,1.141700
337,1.113284
338,1.144246
339,1.152602
340,1.152392
341,1.173746
342,1.134928
343,1.118588
344,1.176289
345,1.121608
346,1.185717
347,1.143804
348,1.133587
349,1.112290
350,1.100747
351,1.191624
352,1.105481
353,1.188222
354,1.124518
355,1.110213
356,1.180490
357,1.131071
358,1.187908
359,1.153112
360,1.106909
361,1.139845
362,1.109980
363,1.142796
364,1.144156
365,1.119101
366,1.177211
367,1.121507
368,1.112574
369,1.143981
370,1.086750
371,1.131638
372,1.141319
373,1.097408
374,1.104814
375,1.098521
376,1.085818
377,1.042058
378,1.093418
379,1.099513
380,1.115375
381,1.056589
382,1.088417
383,1.157088
384,1.117201
385,1.044421
386,1.121591
387,1.113322
388,1.121941
389,1.082858
390,1.118877
391,1.083191
392,1.086886
393,1.121013
394,1.070156
395,1.100738
396,1.080701
397,1.063481
398,1.125762
399,1.094379
400,1.115212
401,1.078511
402,1.091174
403,1.099605
404,1.076559
405,1.068581
406,1.139152
407,1.105358
408,1.192706
409,1.070082
410,1.085034
411,1.097853
412,1.086357
413,1.088413
414,1.057739
415,1.049697
416,1.100415
417,1.097178
418,1.055011
419,1.178489
420,1.077281
421,1.112620
422,1.008188
423,1.027166
424,1.094359
425,1.075022
426,1.072610
427,1.050538
428,1.063005
429,1.099256
430,1.111022
431,1.098386
432,1.055858
433,1.105631
434,1.112669
435,1.041424
436,1.070155
437,1.161347
438,1.112817
439,1.064633
440,0.994720
441,1.049387
442,1.009304
443,1.066896
444,1.025233
445,1.050149
446,1.072427
447,1.095257
448,1.067816
449,1.078294
450,1.082267
